Abrán Aibreán
arcachán arc
arcadán arc
archaingeal ardaingeal
arcán earcán
arda airde
ardach ardú
ardall airdeall
ardchéimeach ardchéimiúil
ardchéimneach ardchéimiúil
ardintinniúil ardintinneach
ardmhaor ardmhéara
ardánacht ardaíocht
ardóg ordóg
argaineach arganach
argaint foirgneamh
argáil argóint
argóna argóinte
ariamh riamh
arlacan airleacán
arm armáil
armacúil armacach
armaid armas
armhaighe ármhá
armtha armáilte
arnach iarnach
arrachta arracht
arrachta arrachtach
arrachtach arracht
arrachtacht arrachtas
arrachtaí arracht
arrachtúil arrachtach
arranta aranta
arraíocht araíocht
artha ortha
artharach árthach
arthú arú
artóg uchtóg
aríst arís
aróg iaróg
as ais
as os
asadh fosadh
asaile asail
asair easair
asarlaí astralaí
asarlaíocht astralaíocht
ascaidh aisce
ascall ascaill
ascallaí ascaillí
ascallán asclán
ascar oscar
ascartha oscartha
ascarthach oscartha
asclach ascallach
asclach asclán
asclach fasclach
asclann asclán
aslú aslach
asna easna
aspa haspa
aspalach aspalda
aspalta aspalda
asplóid aspalóid
asrais easrais
asras easrais
astaigh fostaigh
astar aistear
astoigh istigh
astrach aistreach
astraigh aistrigh
asán osán
ataithe ata
atal aiteall
ataoi atá tú
atarrac atarraingt
ataráisce ataraicse
atchí feiceann
atha aife
athach aitheach
athach fathach
athaid feithid
athaidh atha
athainne aithinne
athair nathair
athairiúil aithriúil
athais aithis
athaiseach aithiseach
athaisigh aithisigh
athara athar
athara athrach
athardha athartha
athardhacht atharthacht
atharrach athrach
atharrú athrú
athartha atharthacht
atharúil aithriúil
athasc aitheasc
athbheo athbheochan
athbheochain athbheochan
athbheochaint athbheochan
athbheos athbheocht
athbheoú athbheochan
athchaint achairt
athchairdeasa athchairdis
athchairt achairt
athcharadas athchairdeas
athchognadh athchogaint
athchognann athchognaíonn
athchoillteoireacht athchoilltiú
athchoimrigh achoimrigh
athchomair achomair
athchomaireacht achomaireacht
athchróig athghróig
athchróigeán athghróigeán
athchuinghe achainí
athdhealbhaigh athdheilbhigh
athfhuafar adhfhuafar
athfhéachadh athfhéachaint
athghairid aicearra
athghearr aicearra
athghearr aicearrach
athiompáil athiompú
athiompó athiompú
athlabhair allabhair
athladh ala
athleaghadh athleá
athló athlá
athmhaidin adhmhaidin
athmhaol aiféalach
athmhuscail athmhúscail
athmhuscladh athmhúscailt
athnuachain athnuachan
athnuachaint athnuachan
athnuachtadh athnuachan
athnáireach adhnáireach
athphréataí athphrátaí
athrann athroinn
athraíoch athraitheach
athsholáthair athsholáthraigh
athsmigead athsmig
athsmigín athsmig
athúlta athmhalta
atraithe otraithe
atramh eatramh
atrann otrann
atruaghach atruach
atuit atit
atuitim atitim
atáir atá tú
atúirnéir aturnae
ba ó
bab bob
babaireacht bobaireacht
babh badhbh
babhais babhta
babhal babhla
babhta boghta
babhta bálta
babáil bobáil
babán bobán
babánach bobánach
bac bacadh
bacachtáil bacadh
bacadas bacachas
bacadáil bacadaíl
bacadáil bacadh
bacaichínteacht bacachas
bacaideach bocóideach
bacaidí bacachán
bacain bacainn
bacainn bacadh
bacaint bacainn
bacanna baic
bacard bacart
bacardadh bacadradh
bacaíl bacaí
bacaíocht bacaí
bachallóg bachlóg
bacharán báchrán
bachla bachlóg
bachlach bachallach
bachlach bathlach
bachlachas bathlachas
bachlainn baclainn
bachlamhail bathlúil
bacla baclainn
baclach baicle
bacáil bacadh
bacáiste bagáiste
bacán beacán
bacúint bacadh
bad badán
badaráil badráil
badhb badhbh
badhbhdhún bábhún
badhbóir badhbaire
badhbóireacht badhbaireacht
badhgaire bladhmaire
badhgaireacht bladhmaireacht
badóg badán
bagar bagairt
bagarlán magarlán
bagarthach bagrach
bagrann bagraíonn
baic bac
baicleach baicle
baidhte baoite
baifidí beaifití
baifití beaifití
baighdeog maighdeog
baighnéad beaignit
baighreán boighreán
baignit beaignit
baignéid beaignit
bail fail
bailbheacht bailbhe
bailbhí bailbhe
bailbhíocht bailbhe
bailceach bailc
bailcín bailcimín
baile bail
baileamhair baileabhair
baillchrith ballchrith
baillsc boilsc
baillsceannach boilsceannach
bailséara ball séire
bailséire ball séire
bailteacha bailte
bailéagar bóiléagar
bainc banc
bainceáil bancáil
baindilín bunsileán
bainfheis bainis
bainríoghan banríon
bainse bainise
bainseacha bainiseacha
bainséar mainséar
baintreabhach baintreach
baintreabhachas baintreachas
baintreách baintreach
bairghean bairín
bairricín barraicín
bairrléir barrliobar
baiseog boiseog
baislín boislichín
baisteach baistíoch
baistidh baiste
baistiúchán baisteachán
baitheas baithis
bala baile
balach baileach
baladh boladh
balaigh bailigh
balaithe boladh
balath boladh
balaíocht bailbhe
balbhacht bailbhe
balbhaíocht bailbhe
balbhántaíocht bailbhe
balc bailc
balc bulc
balcadh pulcadh
balcais bulcais
balchríoch bailchríoch
balla bulla
ballach ball
ballasc ballasta
baláiste ballasta
baláisteach ballastach
balóireacht bolaíocht
bambainne bambairne
bambarnach bambairneach
bamsóg pramsóg
banais bainis
banaltras banaltracht
banartla banaltra
banaí bainbh
banbhaí bainbh
banbhán banbh
bancaeir baincéir
bancaeireacht baincéireacht
bancanna bainc
bandaeir baindéir
bandairne bambairne
bandál bandáil
bang banc
bang crobhaing
bann banda
bann bang
banna banda
bannach bonnóg
bannóg bonnóg
banphríor banphrióir
banradán banrán
banraí branra
banrín banríon
banríne banríona
banríon banríonacha
banríonach banríona
bansíogaí bansióg
bantáiste buntáiste
banóirseach banabhraiseach
baoch buíoch
baodhg baog
baoghal baol
baogracha baogacha
baogán buíocán
baoideach bídeach
baoiteachán baoiteálaí
baon maoineach
baonach maoineach
baoth maoth
baothacht baoithe
baothaire baothán
baothaireacht baothántacht
baothaíocht baothántacht
baothán maothán
baothántaíocht baothántacht
baothúlacht baoithe
bapsóg pramsóg
baradaíl baraíd
baraille bairille
baraoid baraíd
baraois bairís
barastaíl baraíd
baraíl baraíd
barbaracht barbarthacht
barbardha barbartha
barbardhacht barbarthacht
bardaíocht bardacht
bardáil bardaíocht
bardóg pardóg
barr bairr
barra bairr
barra bara
barra barr
barrach borrach
barracht barrachas
barraghain bairrín
barraille bairille
barrainn barainn
barrainn barrann
barrainneach barainneach
barramótar mormónta
barranna barra
barraí barra
barraíocha barra
barraíol barraíl
barraíolach barraíl
barrchonla barrchonlach
barrchuanla barrchonlach
barrdóg pardóg
barrfhuigheall barraíl
barrfhuigheallach barraíl
barrghal barraíl
barrghar barraíl
barrphéist borrphéist
barráiste borráiste
barrán barrann
barrán bearrán
